T,d,z
271.705302338573,2049.21654103074,-8.07194550822565e-06
271.71149844132,2040.42774280897,0.00428082041334421
271.717694544066,2031.63894458721,0.00856971277219643
271.723890646812,2022.85014636545,0.012858605131049
271.730086749559,2014.06134814369,0.0171474974899013
271.736282852305,2005.27254992193,0.0214363898487536
271.742478955051,1996.48375170017,0.0257252822076061
271.748675057798,1987.69495347841,0.0300141745664584
271.754871160544,1978.90615525665,0.0343030669253107
271.76106726329,1970.11735703489,0.0385919592841631
271.767263366037,1961.32855881313,0.0428808516430155
271.773459468783,1952.53976059137,0.0471697440018679
271.779655571529,1943.75096236961,0.0514586363607202
271.785851674276,1934.96216414785,0.0557475287195726
271.792047777022,1926.17336592609,0.0600364210784249
271.798243879768,1917.38456770433,0.0643253134372774
271.804439982515,1908.59576948257,0.0686142057961296
271.810636085261,1899.80697126081,0.0729030981549821
271.816832188007,1891.01817303905,0.0771919905138345
271.823028290754,1882.22937481729,0.0814808828726867
271.8292243935,1873.44057659553,0.0857697752315392
271.835420496246,1864.65177837377,0.0900586675903915
271.841616598993,1855.86298015201,0.0943475599492439
271.847812701739,1847.07418193025,0.0986364523080964
271.854008804485,1838.28538370849,0.102925344666949
267.881795052846,1833.68967024922,0.105168031305281
266.61705506307,1829.09395678995,0.107410717943614
265.568200149324,1824.49824333067,0.109653404581947
264.667293105824,1819.9025298714,0.111896091220279
263.872871999145,1815.30681641213,0.114138777858612
263.160513536455,1810.71110295286,0.116381464496945
262.515881049605,1806.11538949359,0.118624151135277
261.93006006982,1801.51967603432,0.12086683777361
261.396778851855,1796.92396257505,0.123109524411942
260.910984666111,1792.32824911578,0.125352211050275
260.468136401712,1787.73253565651,0.127594897688608
260.063940063329,1783.13682219723,0.12983758432694
259.694289175025,1778.54110873796,0.132080270965273
259.355285173783,1773.94539527869,0.134322957603605
259.043274281176,1769.34968181942,0.136565644241938
258.754876987766,1764.75396836015,0.138808330880271
258.487006389803,1760.15825490088,0.141051017518603
258.236881873561,1755.56254144161,0.143293704156936
258.002040209,1750.96682798234,0.145536390795269
257.780346918388,1746.37111452306,0.147779077433601
257.569950666145,1741.77540106379,0.150021764071934
257.369273609236,1737.17968760452,0.152264450710267
