,doy,soy,head_masl,head_bed
0,191.83333330000002,16574399.99712,558.99238,465.99238
1,191.84375,16575300.0,560.048559,467.04855899999995
2,191.85416669999998,16576200.00288,561.4205675,468.42056749999995
3,191.86458330000002,16577099.99712,562.2300077000001,469.2300077000001
4,191.875,16578000.0,561.9931936,468.99319360000004
5,191.88541669999998,16578900.00288,560.8557764,467.85577639999997
6,191.89583330000002,16579799.99712,558.7451016,465.7451016
7,191.90625,16580700.0,556.1584393999999,463.1584393999999
8,191.91666669999998,16581600.00288,553.3411394,460.3411394
9,191.92708330000002,16582499.99712,550.2619338999999,457.2619338999999
10,191.9375,16583400.0,547.0926116,454.09261160000005
11,191.94791669999998,16584300.00288,544.2824373,451.28243729999997
12,191.95833330000002,16585199.99712,542.1297357000001,449.1297357000001
13,191.96875,16586100.0,540.7802803,447.78028029999996
14,191.97916669999998,16587000.00288,539.8874789,446.8874789
15,191.98958330000002,16587899.99712,539.1114155,446.1114155
16,192.0,16588800.0,538.2422615,445.24226150000004
17,192.01041669999998,16589700.00288,537.4559294,444.45592939999995
18,192.02083330000002,16590599.99712,536.5247538,443.5247538
19,192.03125,16591500.0,535.7601657,442.7601657
20,192.04166669999998,16592400.00288,535.5351442,442.5351442
21,192.05208330000002,16593299.99712,535.7826744,442.7826744
22,192.0625,16594200.0,535.5434809,442.54348089999996
23,192.07291669999998,16595100.00288,534.8196573,441.8196573
24,192.08333330000002,16595999.99712,533.4168727,440.4168727
25,192.09375,16596900.0,531.5975358,438.59753579999995
26,192.10416669999998,16597800.00288,529.5889231000001,436.5889231000001
27,192.11458330000002,16598699.99712,527.5160382,434.5160382
28,192.125,16599600.0,525.3868656000001,432.3868656000001
29,192.13541669999998,16600500.00288,523.4231358,430.42313579999995
30,192.14583330000002,16601399.99712,522.4563696,429.4563696
31,192.15625,16602300.0,522.7189342,429.71893420000004
32,192.16666669999998,16603200.00288,523.9229399000001,430.9229399000001
33,192.17708330000002,16604099.99712,525.0815524,432.08155239999996
34,192.1875,16605000.0,525.0579476,432.05794760000003
35,192.19791669999998,16605900.00288,523.3629398,430.36293980000005
36,192.20833330000002,16606799.99712,520.5513979,427.5513979
37,192.21875,16607700.0,517.2022403,424.20224029999997
38,192.22916669999998,16608600.00288,513.5205036,420.5205036
39,192.23958330000002,16609499.99712,509.7346989,416.7346989
40,192.25,16610400.0,506.04776460000005,413.04776460000005
41,192.26041669999998,16611300.00288,502.67543780000005,409.67543780000005
42,192.27083330000002,16612199.99712,500.13048200000003,407.13048200000003
43,192.28125,16613100.0,498.334086,405.334086
44,192.29166669999998,16614000.00288,497.11212340000003,404.11212340000003
45,192.30208330000002,16614899.99712,496.57496669999995,403.57496669999995
46,192.3125,16615800.0,496.6222085,403.6222085
47,192.32291669999998,16616700.00288,497.4327054,404.4327054
48,192.33333330000002,16617599.99712,498.838611,405.838611
49,192.34375,16618500.0,500.52965430000006,407.52965430000006
50,192.35416669999998,16619400.00288,502.50728080000005,409.50728080000005
51,192.36458330000002,16620299.99712,504.82127239999994,411.82127239999994
52,192.375,16621200.0,507.22606730000007,414.22606730000007
53,192.38541669999998,16622100.00288,509.47649580000007,416.47649580000007
54,192.39583330000002,16622999.99712,511.8301013,418.8301013
55,192.40625,16623900.0,514.318534,421.318534
56,192.41666669999998,16624800.00288,517.0890224999999,424.08902249999994
57,192.42708330000002,16625699.99712,519.5605619,426.56056190000004
58,192.4375,16626600.0,521.479921,428.479921
59,192.44791669999998,16627500.00288,523.3359911,430.3359911
60,192.45833330000002,16628399.99712,525.1720581000001,432.1720581000001
61,192.46875,16629300.0,527.4080103,434.4080103
62,192.47916669999998,16630200.00288,530.6726593999999,437.67265939999993
63,192.48958330000002,16631099.99712,534.6549769999999,441.6549769999999
64,192.5,16632000.0,538.4785637,445.4785637
65,192.51041669999998,16632900.00288,541.6921031,448.69210310000005
66,192.52083330000002,16633799.99712,544.6159018999999,451.6159018999999
67,192.53125,16634700.0,547.5159976,454.5159976
68,192.54166669999998,16635600.00288,550.4225573,457.4225573
69,192.55208330000002,16636499.99712,553.4945904,460.4945904
70,192.5625,16637400.0,556.9767187000001,463.9767187000001
71,192.57291669999998,16638300.00288,560.5175165,467.51751650000006
72,192.58333330000002,16639199.99712,563.9842221,470.9842221
73,192.59375,16640100.0,567.5379518,474.5379518
74,192.60416669999998,16641000.00288,571.3282232999999,478.3282232999999
75,192.61458330000002,16641899.99712,574.6298375,481.6298375
76,192.625,16642800.0,577.2175239000001,484.21752390000006
77,192.63541669999998,16643700.00288,579.4183533,486.41835330000004
78,192.64583330000002,16644599.99712,581.2950390999999,488.29503909999994
79,192.65625,16645500.0,583.0299641,490.02996410000003
80,192.66666669999998,16646400.00288,584.5819842999999,491.58198429999993
81,192.67708330000002,16647299.99712,586.1376147000001,493.1376147000001
82,192.6875,16648200.0,587.3334722999999,494.3334722999999
83,192.69791669999998,16649100.00288,588.5048456000001,495.50484560000007
84,192.70833330000002,16649999.99712,589.6983494,496.6983494
85,192.71875,16650900.0,590.7047842000001,497.70478420000006
86,192.72916669999998,16651800.00288,591.6319861000001,498.63198610000006
87,192.73958330000002,16652699.99712,592.5012759,499.5012759
88,192.75,16653600.0,593.2273658,500.22736580000003
89,192.76041669999998,16654500.00288,593.6651811,500.66518110000004
90,192.77083330000002,16655399.99712,593.9031992,500.9031992
91,192.78125,16656300.0,593.8363981000001,500.8363981000001
92,192.79166669999998,16657200.00288,593.5732830000001,500.57328300000006
93,192.80208330000002,16658099.99712,593.5004831,500.5004831
