"Date Time, GMT+00:00",Temp,albedo,SW_down,melt_rate,SOY,DOY,qsuh_mmh,Qsuh_m3s
2017-07-17 14:00:00,-0.3253958333333267,0.7684642622128887,469.6,0.0,17071200.0,197.58333333333334,0.008174170059185939,0.0015894219559528214
2017-07-17 15:00:00,-0.2202604166666601,0.7684642622128887,554.6,0.0,17074800.0,197.625,0.005700545140945786,0.0011084393329616805
2017-07-17 16:00:00,-0.13886458333332674,0.7684642622128887,462.8,0.0,17078400.0,197.66666666666666,0.0039093189040384025,0.0007601453424519116
2017-07-17 17:00:00,-0.11645833333332675,0.7684642622128887,395.6,0.0,17082000.0,197.70833333333334,0.0025979207832071546,0.0005051512634013911
2017-07-17 18:00:00,-0.1550624999999934,0.7684642622128887,491.2,0.0,17085600.0,197.75,0.0017141375812531182,0.0003333045296881063
2017-07-17 19:00:00,-0.19141666666666007,0.7684642622128887,453.0,0.0,17089200.0,197.79166666666666,0.0010908417710382983,0.0002121081221463358
2017-07-17 20:00:00,-0.23774999999999336,0.7684642622128887,275.2,0.0,17092800.0,197.83333333333334,0.0006333718135203779,0.0001231556304067401
2017-07-17 21:00:00,-0.30564583333332673,0.7684642622128887,206.0,0.0,17096400.0,197.875,0.00035588167806129185,6.919921517858452e-05
2017-07-17 22:00:00,-0.37293749999999337,0.7684642622128887,165.6,0.0,17100000.0,197.91666666666666,0.0001417163411752335,2.7555955228517626e-05
2017-07-17 23:00:00,-0.5042812499999934,0.7684642622128887,109.8,0.0,17103600.0,197.95833333333334,0.0,0.0
2017-07-18 00:00:00,-0.6554687499999933,0.7282599580712772,66.8,0.0,17107200.0,198.0,0.0,0.0
2017-07-18 01:00:00,-0.7448958333333268,0.7282599580712772,39.4,0.0,17110800.0,198.04166666666666,0.0,0.0
2017-07-18 02:00:00,-0.7873958333333269,0.7282599580712772,16.4,0.0,17114400.0,198.08333333333334,0.0,0.0
2017-07-18 03:00:00,-0.8476354166666601,0.7282599580712772,7.6,0.0,17118000.0,198.125,0.0,0.0
2017-07-18 04:00:00,-1.1115624999999936,0.7282599580712772,6.4,0.0,17121600.0,198.16666666666666,0.0,0.0
2017-07-18 05:00:00,-1.2821874999999936,0.7282599580712772,9.6,0.0,17125200.0,198.20833333333334,0.0,0.0
2017-07-18 06:00:00,-1.3526041666666602,0.7282599580712772,25.6,0.0,17128800.0,198.25,0.0,0.0
2017-07-18 07:00:00,-1.3880208333333266,0.7282599580712772,41.4,0.0,17132400.0,198.29166666666666,0.0,0.0
2017-07-18 08:00:00,-1.3868854166666595,0.7282599580712772,140.2,0.0,17136000.0,198.33333333333334,0.0,0.0
2017-07-18 09:00:00,-1.2774583333333265,0.7282599580712772,267.8,0.0,17139600.0,198.375,0.0,0.0
2017-07-18 10:00:00,-0.8835104166666596,0.7282599580712772,374.6,0.0,17143200.0,198.41666666666666,0.0,0.0
2017-07-18 11:00:00,-0.4201145833333264,0.7282599580712772,482.0,0.0,17146800.0,198.45833333333334,0.0,0.0
2017-07-18 12:00:00,0.09403125000000699,0.7282599580712772,580.2,1.486739142374223,17150400.0,198.5,0.0,0.0
2017-07-18 13:00:00,0.5777812500000069,0.7282599580712772,660.2,1.7152751539046232,17154000.0,198.54166666666666,0.08464660755868662,0.01645906258085573
2017-07-18 14:00:00,1.0636354166666735,0.7282599580712772,717.8,1.886698790539844,17157600.0,198.58333333333334,0.2128981597399227,0.041396864393873856
2017-07-18 15:00:00,1.5705833333333399,0.7282599580712772,749.4,1.9927638484276848,17161200.0,198.625,0.35804026058655847,0.06961893955849746
2017-07-18 16:00:00,2.0385104166666737,0.7282599580712772,749.8,2.017181945152004,17164800.0,198.66666666666666,0.5022512257771786,0.09765996056778471
2017-07-18 17:00:00,2.403083333333341,0.7282599580712772,719.4,1.957758156603785,17168400.0,198.70833333333334,0.6327194358112674,0.12302877918552423
2017-07-18 18:00:00,2.654958333333341,0.7282599580712772,662.2,1.8242427208595493,17172000.0,198.75,0.7401358901414359,0.14391531197194585
2017-07-18 19:00:00,2.852156250000008,0.7282599580712772,566.0,1.588373531577577,17175600.0,198.79166666666666,0.8183187206348298,0.15911752901232798
