UTC_DOY,UTC_SOY,foxx_z_meters,foxx_dz_mper6h,m3_m3s_6h,m4_m3s_6h,mF_m3s_6h
46,3974400,2.357,-0.00199999999999978,-0.514199259259203,-1.90090703703683,-1.10260759259247
46.25,3996000,2.356,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
46.5,4017600,2.354,-0.00199999999999978,-0.514199259259203,-1.90090703703683,-1.10260759259247
46.75,4039200,2.354,0,0,0,0
47,4060800,2.352,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
47.25,4082400,2.352,0,0,0,0
47.5,4104000,2.352,0,0,0,0
47.75,4125600,2.352,0,0,0,0
48,4147200,2.351,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
48.25,4168800,2.351,0,0,0,0
48.5,4190400,2.35,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
48.75,4212000,2.351,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
49,4233600,2.352,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
49.25,4255200,2.353,0.00100000000000033,0.257099629629715,0.950453518518836,0.55130379629648
49.5,4276800,2.353,0,0,0,0
49.75,4298400,2.354,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
50,4320000,2.353,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
50.25,4341600,2.352,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
50.5,4363200,2.35,-0.00199999999999978,-0.514199259259203,-1.90090703703683,-1.10260759259247
50.75,4384800,2.347,-0.00300000000000011,-0.771298888888918,-2.85136055555566,-1.65391138888895
51,4406400,2.349,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
51.25,4428000,2.349,0,0,0,0
51.5,4449600,2.348,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
51.75,4471200,2.348,0,0,0,0
52,4492800,2.347,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
52.25,4514400,2.349,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
52.5,4536000,2.347,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
52.75,4557600,2.349,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
53,4579200,2.348,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
53.25,4600800,2.348,0,0,0,0
53.5,4622400,2.349,0.00100000000000033,0.257099629629715,0.950453518518836,0.55130379629648
53.75,4644000,2.351,0.00199999999999978,0.514199259259203,1.90090703703683,1.10260759259247
54,4665600,2.351,0,0,0,0
54.25,4687200,2.35,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
54.5,4708800,2.35,0,0,0,0
54.75,4730400,2.349,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
55,4752000,2.349,0,0,0,0
55.25,4773600,2.349,0,0,0,0
55.5,4795200,2.349,0,0,0,0
55.75,4816800,2.349,0,0,0,0
56,4838400,2.348,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
56.25,4860000,2.347,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
56.5,4881600,2.347,0,0,0,0
56.75,4903200,2.346,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
57,4924800,2.345,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
57.25,4946400,2.345,0,0,0,0
57.5,4968000,2.344,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
57.75,4989600,2.345,0.00100000000000033,0.257099629629715,0.950453518518836,0.55130379629648
58,5011200,2.344,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
58.25,5032800,2.343,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
58.5,5054400,2.344,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
58.75,5076000,2.343,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
59,5097600,2.343,0,0,0,0
59.25,5119200,2.343,0,0,0,0
59.5,5140800,2.341,-0.00199999999999978,-0.514199259259203,-1.90090703703683,-1.10260759259247
59.75,5162400,2.342,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
60,5184000,2.341,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
60.25,5205600,NaN,NaN,NaN,NaN,NaN
60.5,5227200,NaN,NaN,NaN,NaN,NaN
60.75,5248800,2.336,NaN,NaN,NaN,NaN
61,5270400,2.337,0.00100000000000033,0.257099629629715,0.950453518518836,0.55130379629648
61.25,5292000,2.332,-0.00500000000000034,-1.28549814814824,-4.75226759259291,-2.75651898148167
61.5,5313600,2.331,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
61.75,5335200,2.334,0.00300000000000011,0.771298888888918,2.85136055555566,1.65391138888895
62,5356800,2.337,0.00300000000000011,0.771298888888918,2.85136055555566,1.65391138888895
62.25,5378400,2.336,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
62.5,5400000,2.338,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
62.75,5421600,2.337,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
63,5443200,2.335,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
63.25,5464800,2.337,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
63.5,5486400,2.338,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
63.75,5508000,2.34,0.00199999999999978,0.514199259259203,1.90090703703683,1.10260759259247
64,5529600,2.341,0.00100000000000033,0.257099629629715,0.950453518518836,0.55130379629648
64.25,5551200,2.34,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
64.5,5572800,2.339,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
64.75,5594400,2.338,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
65,5616000,2.341,0.00300000000000011,0.771298888888918,2.85136055555566,1.65391138888895
65.25,5637600,2.336,-0.00500000000000034,-1.28549814814824,-4.75226759259291,-2.75651898148167
65.5,5659200,2.338,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
65.75,5680800,2.338,0,0,0,0
66,5702400,2.337,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
66.25,5724000,2.337,0,0,0,0
66.5,5745600,2.337,0,0,0,0
66.75,5767200,2.337,0,0,0,0
67,5788800,2.336,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
67.25,5810400,2.334,-0.00199999999999978,-0.514199259259203,-1.90090703703683,-1.10260759259247
67.5,5832000,2.334,0,0,0,0
67.75,5853600,2.335,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
68,5875200,2.336,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
68.25,5896800,2.335,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
68.5,5918400,2.335,0,0,0,0
68.75,5940000,2.335,0,0,0,0
69,5961600,2.335,0,0,0,0
69.25,5983200,2.333,-0.00199999999999978,-0.514199259259203,-1.90090703703683,-1.10260759259247
69.5,6004800,2.334,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
69.75,6026400,2.336,0.00199999999999978,0.514199259259203,1.90090703703683,1.10260759259247
70,6048000,2.336,0,0,0,0
70.25,6069600,2.334,-0.00199999999999978,-0.514199259259203,-1.90090703703683,-1.10260759259247
70.5,6091200,2.335,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
70.75,6112800,2.336,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
71,6134400,2.336,0,0,0,0
71.25,6156000,2.335,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
71.5,6177600,2.335,0,0,0,0
71.75,6199200,2.337,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
72,6220800,2.335,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
72.25,6242400,2.334,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
72.5,6264000,2.335,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
72.75,6285600,2.338,0.00300000000000011,0.771298888888918,2.85136055555566,1.65391138888895
73,6307200,2.339,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
73.25,6328800,2.341,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
73.5,6350400,2.339,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
73.75,6372000,2.339,0,0,0,0
74,6393600,2.338,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
74.25,6415200,2.337,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
74.5,6436800,2.336,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
74.75,6458400,2.338,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
75,6480000,2.336,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
75.25,6501600,2.335,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
75.5,6523200,2.336,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
75.75,6544800,2.338,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
76,6566400,2.336,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
76.25,6588000,2.338,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
76.5,6609600,2.339,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
76.75,6631200,2.342,0.00300000000000011,0.771298888888918,2.85136055555566,1.65391138888895
77,6652800,2.343,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
77.25,6674400,2.342,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
77.5,6696000,2.345,0.00300000000000011,0.771298888888918,2.85136055555566,1.65391138888895
77.75,6717600,2.344,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
78,6739200,2.344,0,0,0,0
78.25,6760800,2.343,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
78.5,6782400,2.343,0,0,0,0
78.75,6804000,2.344,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
79,6825600,2.341,-0.00299999999999967,-0.771298888888804,-2.85136055555524,-1.65391138888871
79.25,6847200,2.34,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
79.5,6868800,2.34,0,0,0,0
79.75,6890400,2.341,0.00100000000000033,0.257099629629715,0.950453518518836,0.55130379629648
80,6912000,2.338,-0.00300000000000011,-0.771298888888918,-2.85136055555566,-1.65391138888895
80.25,6933600,2.339,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
80.5,6955200,2.34,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
80.75,6976800,2.341,0.00100000000000033,0.257099629629715,0.950453518518836,0.55130379629648
81,6998400,2.344,0.00299999999999967,0.771298888888804,2.85136055555524,1.65391138888871
81.25,7020000,2.343,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
81.5,7041600,2.343,0,0,0,0
81.75,7063200,2.345,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
82,7084800,2.344,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
82.25,7106400,2.344,0,0,0,0
82.5,7128000,2.343,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
82.75,7149600,2.345,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
83,7171200,2.343,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
83.25,7192800,2.343,0,0,0,0
83.5,7214400,2.344,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
83.75,7236000,2.348,0.004,1.02839851851852,3.80181407407408,2.20521518518519
84,7257600,2.348,0,0,0,0
84.25,7279200,2.349,0.00100000000000033,0.257099629629715,0.950453518518836,0.55130379629648
84.5,7300800,2.352,0.00299999999999967,0.771298888888804,2.85136055555524,1.65391138888871
84.75,7322400,2.351,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
85,7344000,2.352,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
85.25,7365600,2.351,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
85.5,7387200,2.352,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
85.75,7408800,2.352,0,0,0,0
86,7430400,2.35,-0.00199999999999978,-0.514199259259203,-1.90090703703683,-1.10260759259247
86.25,7452000,2.35,0,0,0,0
86.5,7473600,2.35,0,0,0,0
86.75,7495200,2.348,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
87,7516800,2.346,-0.00199999999999978,-0.514199259259203,-1.90090703703683,-1.10260759259247
87.25,7538400,2.346,0,0,0,0
87.5,7560000,2.347,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
