,doy,soy,head_masl,head_bed
0,199.01736110000002,17195099.99904,567.2399255,474.2399255
1,199.02083330000002,17195399.99712,560.8399334,467.83993339999995
2,199.0243056,17195700.00384,558.7146565,465.71465650000005
3,199.02777780000002,17196000.001920003,556.576672,463.57667200000003
4,199.03125,17196300.0,553.390125,460.390125
5,199.03472219999998,17196599.998079997,551.2478322000001,458.24783220000006
6,199.0381944,17196899.99616,549.1134499,456.1134499
7,199.04166669999998,17197200.00288,546.966606,453.96660599999996
8,199.04513889999998,17197500.00096,545.8994422000001,452.89944220000007
177,199.6319444,17248199.99616,544.8566217,451.8566217
178,199.63541669999998,17248500.00288,545.923165,452.92316500000004
179,199.63888889999998,17248800.00096,548.0758262,455.07582620000005
180,199.64236110000002,17249099.99904,549.1377395,456.13773949999995
181,199.64583330000002,17249399.99712,551.2765264999999,458.27652649999993
182,199.6493056,17249700.00384,553.4146937,460.41469370000004
183,199.65277780000002,17250000.001920003,555.5635426,462.5635426
184,199.65625,17250300.0,557.7146727999999,464.7146727999999
185,199.65972219999998,17250599.998079997,558.7805364,465.78053639999996
186,199.6631944,17250899.99616,559.8290421,466.82904210000004
187,199.66666669999998,17251200.00288,560.8805989,467.8805989
188,199.67013889999998,17251500.00096,563.0035377,470.00353770000004
189,199.67361110000002,17251799.99904,564.077792,471.07779200000004
190,199.67708330000002,17252099.99712,565.1510887999999,472.1510887999999
191,199.6805556,17252400.00384,566.2070445,473.20704450000005
192,199.68402780000002,17252700.001920003,567.2680497,474.2680497
193,199.6875,17253000.0,569.3977629,476.3977629
194,199.69097219999998,17253299.998079997,570.4720164,477.47201640000003
195,199.6944444,17253599.99616,571.5253614,478.52536139999995
196,199.69791669999998,17253900.00288,572.5987811000001,479.5987811000001
197,199.70138889999998,17254200.00096,573.6761625,480.67616250000003
198,199.70486110000002,17254499.99904,574.719965,481.719965
199,199.70833330000002,17254799.99712,575.7788785,482.7788785
200,199.7118056,17255100.00384,576.8432995000001,483.84329950000006
201,199.71527780000002,17255400.001920003,576.8283721,483.8283721
202,199.71875,17255700.0,577.8917151,484.89171510000006
203,199.72222219999998,17255999.998079997,578.9605571000001,485.9605571000001
204,199.7256944,17256299.99616,580.0160954,487.01609540000004
205,199.72916669999998,17256600.00288,581.0651271,488.06512710000004
206,199.73263889999998,17256900.00096,582.1248001,489.1248001
207,199.73611110000002,17257199.99904,583.1893977000001,490.1893977000001
208,199.73958330000002,17257499.99712,584.2434432,491.2434432
209,199.7430556,17257800.00384,584.236627,491.236627
210,199.74652780000002,17258100.001920003,585.3030292000001,492.3030292000001
211,199.75,17258400.0,586.3658379999999,493.36583799999994
212,199.75347219999998,17258699.998079997,586.3640902000001,493.3640902000001
213,199.7569444,17258999.99616,587.4162491000001,494.4162491000001
214,199.76041669999998,17259300.00288,588.4821079,495.48210789999996
215,199.76388889999998,17259600.00096,588.4942166000001,495.4942166000001
216,199.76736110000002,17259899.99904,589.5275512000001,496.52755120000006
217,199.77083330000002,17260199.99712,589.5292417000001,496.52924170000006
218,199.7743056,17260500.00384,590.5889642999999,497.58896429999993
219,199.77777780000002,17260800.001920003,590.5870913,497.5870913
220,199.78125,17261100.0,591.6477345,498.64773449999996
221,199.78472219999998,17261399.998079997,591.6337816,498.6337816
222,199.7881944,17261699.99616,591.64449,498.64449
223,199.79166669999998,17262000.00288,591.6497529,498.64975289999995
224,199.79513889999998,17262300.00096,592.6861825,499.6861825
225,199.79861110000002,17262599.99904,592.6985047999999,499.6985047999999
226,199.80208330000002,17262899.99712,592.7012841,499.70128409999995
227,199.8055556,17263200.00384,592.7050341,499.70503410000003
228,199.80902780000002,17263500.001920003,592.7054745,499.70547450000004
229,199.8125,17263800.0,592.6908427999999,499.6908427999999
230,199.81597219999998,17264099.998079997,592.6973396000001,499.6973396000001
231,199.8194444,17264399.99616,592.7032945000001,499.7032945000001
232,199.82291669999998,17264700.00288,592.7041644999999,499.70416449999993
233,199.82638889999998,17265000.00096,592.7140227000001,499.7140227000001
234,199.82986110000002,17265299.99904,592.7000584,499.7000584
235,199.83333330000002,17265599.99712,592.7138691,499.7138691
236,199.8368056,17265900.00384,592.7098924,499.70989239999994
237,199.84027780000002,17266200.001920003,592.6998394999999,499.69983949999994
238,199.84375,17266500.0,592.7096539,499.70965390000003
239,199.84722219999998,17266799.998079997,591.6539437000001,498.6539437000001
240,199.8506944,17267099.99616,591.6437656,498.64376560000005
241,199.85416669999998,17267400.00288,591.6543321,498.65433210000003
242,199.85763889999998,17267700.00096,591.6473542,498.6473542
243,199.86111110000002,17267999.99904,590.6146884999999,497.61468849999994
244,199.86458330000002,17268299.99712,590.6103962999999,497.61039629999993
245,199.8680556,17268600.00384,590.6122368,497.6122368
246,199.87152780000002,17268900.001920003,589.5446059999999,496.54460599999993
247,199.875,17269200.0,589.5561435,496.55614349999996
248,199.87847219999998,17269499.998079997,588.4903959,495.49039589999995
249,199.8819444,17269799.99616,588.5007682,495.50076820000004
250,199.88541669999998,17270100.00288,588.4911727000001,495.4911727000001
251,199.88888889999998,17270400.00096,587.4365562,494.43655620000004
252,199.89236110000002,17270699.99904,587.4429677999999,494.4429677999999
253,199.89583330000002,17270999.99712,586.3820588,493.3820588
254,199.8993056,17271300.00384,586.3873949,493.3873949
255,199.90277780000002,17271600.001920003,585.3247448,492.32474479999996
256,199.90625,17271900.0,585.324939,492.324939
257,199.90972219999998,17272199.998079997,584.2785047,491.2785047
258,199.9131944,17272499.99616,584.2683266,491.2683266
259,199.91666669999998,17272800.00288,583.2137506,490.2137506
