UTC_DOY,UTC_SOY_1h,m3_m3s_1h_24hS,m4_m3s_1h_24hS,mF_m3s_1h_24hS
1,86400,0.514199259259203,1.90090703703683,1.10260759259247
1.04166666666667,90000,0.471349320987602,1.74249811728376,1.0107236265431
1.08333333333333,93600,0.428499382716002,1.58408919753069,0.918839660493727
1.125,97200,0.385649444444402,1.42568027777762,0.826955694444354
1.16666666666667,100800,0.342799506172802,1.26727135802455,0.735071728394982
1.20833333333333,104400,0.299949567901202,1.10886243827148,0.643187762345609
1.25,108000,0.257099629629601,0.950453518518413,0.551303796296236
1.29166666666667,111600,0.214249691358001,0.792044598765345,0.459419830246864
1.33333333333333,115200,0.171399753086401,0.633635679012276,0.367535864197491
1.375,118800,0.128549814814801,0.475226759259207,0.275651898148118
1.41666666666667,122400,0.0856998765432005,0.316817839506138,0.183767932098746
1.45833333333333,126000,0.0428499382716003,0.158408919753069,0.0918839660493728
1.5,129600,8.67361737988404e-17,3.05311331771918e-16,2.42861286636753e-16
1.54166666666667,133200,0,0,0
1.58333333333333,136800,0,0,0
1.625,140400,0,0,0
1.66666666666667,144000,0,0,0
1.70833333333333,147600,0,0,0
1.75,151200,0,0,0
1.79166666666667,154800,0,0,0
1.83333333333333,158400,0,0,0
1.875,162000,0,0,0
1.91666666666667,165600,0,0,0
1.95833333333333,169200,0,0,0
2,172800,0,0,0
2.04166666666667,176400,0,0,0
2.08333333333333,180000,0,0,0
2.125,183600,0,0,0
2.16666666666667,187200,0.062651803684991,0.231613041760168,0.134345495814612
2.20833333333333,190800,0.124942917653891,0.461892675104907,0.267917557571571
2.25,194400,0.178757823294655,0.660837210687045,0.383313918973645
2.29166666666667,198000,0.218577967951092,0.808045499750503,0.468701038938719
2.33333333333333,201600,0.235746798437019,0.871515740324965,0.50551650008308
2.375,205200,0.225070382840729,0.832046851228241,0.482622851976503
2.41666666666667,208800,0.186981548821528,0.691238922558847,0.400948215488172
2.45833333333333,212400,0.127539883609746,0.471493215696004,0.273486282786685
2.5,216000,0.0584317340067278,0.216012163299641,0.125296317340054
2.54166666666667,219600,0,0,0
2.58333333333333,223200,0,0,0
2.625,226800,0,0,0
2.66666666666667,230400,0,0,0
2.70833333333333,234000,0,0,0
2.75,237600,0,0,0
2.79166666666667,241200,0,0,0
2.83333333333333,244800,0,0,0
2.875,248400,0,0,0
2.91666666666667,252000,0,0,0
2.95833333333333,255600,0,0,0
3,259200,0,0,0
3.04166666666667,262800,0,0,0
3.08333333333333,266400,0,0,0
3.125,270000,0,0,0
3.16666666666667,273600,0.00779089786756821,0.028801621773302,0.0167061756453502
3.20833333333333,277200,0.0199100723282259,0.0736041445317573,0.0426935599825532
3.25,280800,0.0233726936027011,0.086404865319893,0.0501185269360431
3.29166666666667,284400,0.0199100723282284,0.0736041445317664,0.0426935599825585
3.33333333333333,288000,0.0077908978675707,0.0288016217733111,0.0167061756453555
3.375,291600,0,0,0
3.41666666666667,295200,0,0,0
3.45833333333333,298800,0,0,0
3.5,302400,0,0,0
3.54166666666667,306000,0,0,0
