Date,melt_rate,melt_mmperh_smooth_6h,Qm3s,SOY,DOY
2018-07-13 22:15:00,0.23129200000000003,0.3606452500000013,0.08014338888888918,16755300.000000002,193.92708333333337
2018-07-13 22:30:00,0.23489200000000005,0.322611916666668,0.07169153703703735,16756200.000000002,193.93750000000003
2018-07-13 22:45:00,0.200042,0.26917925000000126,0.0598176111111114,16757100.000000002,193.9479166666667
2018-07-13 23:00:00,0.20025800000000002,0.2417348333333346,0.053718851851852135,16758000.000000002,193.95833333333337
2018-07-13 23:15:00,0.189142,0.21968691666666795,0.0488193148148151,16758900.000000002,193.96875000000003
2018-07-13 23:30:00,0.156742,0.2041730000000013,0.045371777777778066,16759800.000000002,193.9791666666667
2018-07-13 23:45:00,0.149042,0.18744316666666797,0.04165403703703733,16760700.000000002,193.98958333333337
2018-07-14 00:00:00,0.160392,0.17152441666666796,0.038116537037037324,16761600.000000002,194.00000000000003
2018-07-14 00:15:00,0.150358,0.1632737500000013,0.03628305555555584,16762500.000000002,194.0104166666667
2018-07-14 00:30:00,0.167092,0.15495291666666797,0.03443398148148177,16763400.000000002,194.02083333333337
2018-07-14 00:45:00,0.147658,0.14973000000000128,0.03327333333333361,16764300.000000002,194.03125000000003
2018-07-14 01:00:00,0.13464199999999998,0.14575983333333462,0.03239107407407436,16765200.000000002,194.0416666666667
2018-07-14 01:15:00,0.12219200000000001,0.1407952500000013,0.03128783333333362,16766100.000000002,194.05208333333337
2018-07-14 01:30:00,0.114142,0.13597441666666796,0.030216537037037326,16767000.000000002,194.06250000000003
2018-07-14 01:45:00,0.11880800000000001,0.1314542500000013,0.029212055555555845,16767900.000000002,194.0729166666667
2018-07-14 02:00:00,0.113792,0.12779525000000133,0.02839894444444474,16768800.000000002,194.08333333333337
2018-07-14 02:15:00,0.133892,0.124695916666668,0.027710203703703997,16769700.000000002,194.09375000000003
2018-07-14 02:30:00,0.113108,0.12391258333333466,0.027536129629629924,16770600.000000002,194.1041666666667
2018-07-14 02:45:00,0.117492,0.12265283333333465,0.02725618518518548,16771500.000000002,194.11458333333337
2018-07-14 03:00:00,0.118842,0.12072575000000134,0.02682794444444474,16772400.000000002,194.12500000000003
2018-07-14 03:15:00,0.118842,0.11904800000000133,0.026455111111111408,16773300.000000002,194.1354166666667
2018-07-14 03:30:00,0.099658,0.11657300000000136,0.025905111111111413,16774200.000000002,194.14583333333337
2018-07-14 03:45:00,0.086108,0.11476675000000136,0.02550372222222252,16775100.000000002,194.15625000000003
2018-07-14 04:00:00,0.11980800000000001,0.11483550000000137,0.025519000000000305,16776000.000000002,194.1666666666667
2018-07-14 04:15:00,0.112142,0.1152965833333347,0.025621462962963262,16776900.000000002,194.17708333333337
2018-07-14 04:30:00,0.119192,0.11642783333333469,0.025872851851852154,16777800.0,194.1875
2018-07-14 04:45:00,0.091558,0.11568133333333469,0.025706962962963265,16778700.0,194.19791666666666
2018-07-14 05:00:00,0.112442,0.11559591666666802,0.02568798148148178,16779600.0,194.20833333333334
2018-07-14 05:15:00,0.114758,0.11506675000000137,0.025570388888889194,16780500.0,194.21875
2018-07-14 05:30:00,0.13794199999999998,0.11459800000000137,0.025466222222222525,16781400.0,194.22916666666666
2018-07-14 05:45:00,0.11880800000000001,0.11613341666666804,0.02580742592592623,16782300.0,194.23958333333334
2018-07-14 06:00:00,0.114142,0.11826675000000138,0.026281500000000308,16783200.0,194.25
2018-07-14 06:15:00,0.110092,0.11922508333333472,0.02649446296296327,16784100.0,194.26041666666666
2018-07-14 06:30:00,0.107692,0.1212605000000014,0.026946777777778087,16785000.0,194.27083333333334
2018-07-14 06:45:00,0.104308,0.12470150000000141,0.02771144444444476,16785900.0,194.28125
2018-07-14 07:00:00,0.13629200000000002,0.12823483333333474,0.02849662962962994,16786800.0,194.29166666666666
2018-07-14 07:15:00,0.13325800000000002,0.1338681666666681,0.0297484814814818,16787700.0,194.30208333333334
2018-07-14 07:30:00,0.141292,0.13833691666666809,0.03074153703703735,16788600.0,194.3125
2018-07-14 07:45:00,0.10089200000000001,0.14390083333333475,0.03197796296296328,16789500.0,194.32291666666666
2018-07-14 08:00:00,0.11174200000000001,0.1475425000000014,0.03278722222222253,16790400.0,194.33333333333334
2018-07-14 08:15:00,0.121192,0.1535800000000014,0.03412888888888921,16791300.0,194.34375
2018-07-14 08:30:00,0.101858,0.16226608333333473,0.03605912962962994,16792200.0,194.35416666666666
2018-07-14 08:45:00,0.15434200000000003,0.16965983333333476,0.037702185185185505,16793100.0,194.36458333333334
2018-07-14 09:00:00,0.17004200000000003,0.17553133333333473,0.03900696296296328,16794000.0,194.375
2018-07-14 09:15:00,0.14184200000000002,0.18880283333333472,0.041956185185185485,16794900.0,194.38541666666666
2018-07-14 09:30:00,0.14850800000000003,0.20711183333333472,0.046024851851852164,16795800.0,194.39583333333334
2018-07-14 09:45:00,0.168692,0.22276533333333473,0.049503407407407725,16796700.0,194.40625
2018-07-14 10:00:00,0.204608,0.24042991666666805,0.053428870370370675,16797600.0,194.41666666666666
2018-07-14 10:15:00,0.24734200000000006,0.25527091666666807,0.05672687037037068,16798500.0,194.42708333333334
2018-07-14 10:30:00,0.22644200000000003,0.2696924166666681,0.05993164814814847,16799400.0,194.4375
2018-07-14 10:45:00,0.22509200000000004,0.28904100000000144,0.06423133333333365,16800300.0,194.44791666666666
2018-07-14 11:00:00,0.19984200000000002,0.31070975000000145,0.06904661111111143,16801200.0,194.45833333333334
2018-07-14 11:15:00,0.25965800000000006,0.33115625000000143,0.0735902777777781,16802100.0,194.46875
2018-07-14 11:30:00,0.34640800000000005,0.35243958333333475,0.07831990740740771,16803000.0,194.47916666666666
2018-07-14 11:45:00,0.2962580000000001,0.3697423333333348,0.08216496296296327,16803900.0,194.48958333333334
2018-07-14 12:00:00,0.255058,0.3846673333333348,0.08548162962962995,16804800.0,194.5
2018-07-14 12:15:00,0.42860800000000004,0.4021409166666681,0.08936464814814847,16805700.0,194.51041666666666
