depth_m,temp_C
-10.3188473815701,-2.70252923979353
-15.7305740294456,-4.22597987245923
-21.1359589626271,-3.58548625566687
-25.7693344877335,-3.10079178468589
-30.4034710186032,-2.87577062363987
-35.810530164464,-2.80655828870444
-41.2173863754543,-2.66809973778634
-45.8522839120875,-2.70275188667529
-51.2596981939711,-2.7547204297095
-71.3444740321567,-2.97989647554283
-98.3843357960399,-4.19187466047546
-125.423893157618,-5.2999835214341
-151.690324969334,-6.1830373402995
-178.728766189126,-6.91029201335352
-205.766243468284,-7.30862716048992
-232.803264143984,-7.55115832166534
-259.840284819685,-7.79368948284075
-286.87720402795,-8.00159753602484
