Timestamp (UTC),RADI,JEME,JNIH,PIRA,SBPI
2017-08-10 03:00:00,4.005919689368791,0.09502560443955473,0.14064494861070023,NaN,NaN
2017-08-10 04:00:00,3.567265749661411,0.07742939369299155,0.1122887866043635,NaN,NaN
2017-08-10 05:00:00,3.1168681686882596,0.06317303436425502,0.0886081567545604,NaN,NaN
2017-08-10 06:00:00,2.6799042986363246,0.051992672480256054,0.06985742948097841,NaN,NaN
2017-08-10 07:00:00,2.2739188297458877,0.043510430467348,0.055704433552827726,NaN,NaN
2017-08-10 08:00:00,1.9116164832342621,0.03828439036789095,0.04584679942666967,NaN,NaN
2017-08-10 09:00:00,1.6043738379933188,0.03834731013961817,0.04093840895674771,NaN,NaN
2017-08-10 10:00:00,1.372737909617743,0.04516632831186088,0.04261568640325127,NaN,NaN
2017-08-10 11:00:00,1.2383832246221955,0.05898700829198511,0.05240573298015121,NaN,NaN
2017-08-10 12:00:00,1.2195948030447896,0.07931712690705878,0.07094368900462174,NaN,NaN
2017-08-10 13:00:00,1.3267732346006325,0.10457615576643936,0.09767510129667156,NaN,NaN
2017-08-10 14:00:00,1.5582600342669726,0.13204708849881522,0.13062718695977538,NaN,NaN
2017-08-10 15:00:00,1.898174613859942,0.15894012783927333,0.1666558559867523,NaN,NaN
2017-08-10 16:00:00,2.3208385941151346,0.18427440427927988,0.2026649713119771,NaN,NaN
2017-08-10 17:00:00,2.7971930818839073,0.20659959049042384,0.2363007441279388,NaN,NaN
2017-08-10 18:00:00,3.2936654813469026,0.2232337683672363,0.26512769924226265,NaN,NaN
2017-08-10 19:00:00,3.7715581448940565,0.2324817954429468,0.28646843560015217,NaN,NaN
2017-08-10 20:00:00,4.1916578288170605,0.23360935351448758,0.2982081085601216,NaN,NaN
2017-08-10 21:00:00,4.518899698183194,0.22653254553299199,0.29919157646756295,NaN,NaN
2017-08-10 22:00:00,4.725775591672579,0.21187665636241454,0.28927473499506823,NaN,NaN
2017-08-10 23:00:00,4.795255684363136,0.19111558240143503,0.26936332249584194,NaN,NaN
2017-08-11 00:00:00,4.722855333673165,0.1664389365086712,0.2414220900478997,NaN,NaN
2017-08-11 01:00:00,4.518120722592113,0.14061053052061462,0.20836662422941765,NaN,NaN
2017-08-11 02:00:00,4.204788646939939,0.11619466258010323,0.17367867837223158,NaN,NaN
2017-08-11 03:00:00,3.8157941749786453,0.09458928905258995,0.1405642564862347,NaN,NaN
2017-08-11 04:00:00,3.3855058978388546,0.07623869973293507,0.11118690943499414,NaN,NaN
2017-08-11 05:00:00,2.9439518982480974,0.06092552106067306,0.08648129702642589,NaN,NaN
2017-08-11 06:00:00,2.5143719799133777,0.04823560944481252,0.06641263265618048,NaN,NaN
2017-08-11 07:00:00,2.113185537619079,0.038049040168253286,0.05052169037024491,NaN,NaN
2017-08-11 08:00:00,1.7501026871393082,0.031161969264433848,0.03864013169779577,NaN,NaN
2017-08-11 09:00:00,1.4291478554245804,0.029590670951459456,0.031610098576629914,NaN,NaN
2017-08-11 10:00:00,1.1511279672400827,0.03490970174352307,0.03120391209857288,NaN,NaN
2017-08-11 11:00:00,0.9374439174473539,0.047390264344828646,0.03906068623500101,NaN,NaN
2017-08-11 12:00:00,0.8353426604241273,0.0665563024016379,0.05588118940984355,NaN,NaN
2017-08-11 13:00:00,0.8753030256309087,0.09095690343301087,0.08118309649910867,NaN,NaN
2017-08-11 14:00:00,1.0656620753560788,0.11847331411637399,0.11327048784134784,NaN,NaN
2017-08-11 15:00:00,1.3948615915873672,0.1467237746669794,0.14951503931048632,NaN,NaN
2017-08-11 16:00:00,1.8345071788349823,0.17303252315445972,0.18669504877719656,NaN,NaN
2017-08-11 17:00:00,2.345647004887449,0.1952763381837068,0.22145117104079326,NaN,NaN
2017-08-11 18:00:00,2.884502026908285,0.21180173218900963,0.25081677395914326,NaN,NaN
2017-08-11 19:00:00,3.406093248025134,0.2212324752325863,0.2723923275150164,NaN,NaN
2017-08-11 20:00:00,3.8683065007363777,0.22281124828413518,0.28442196692092997,NaN,NaN
2017-08-11 21:00:00,4.234742686407559,0.21634354904182537,0.2859109312145902,NaN,NaN
2017-08-11 22:00:00,4.477323491969938,0.2025556655751331,0.27676983181294473,NaN,NaN
2017-08-11 23:00:00,4.578648836855713,0.1826536307409535,0.2578674192171936,NaN,NaN
2017-08-12 00:00:00,4.533405464379241,0.1585735550831877,0.2309513835827448,NaN,NaN
2017-08-12 01:00:00,4.350461594195368,0.13321661334728543,0.19875513896764763,NaN,NaN
2017-08-12 02:00:00,4.053587261251235,0.10917821804417858,0.1647347016423429,NaN,NaN
2017-08-12 03:00:00,3.6764231458193635,0.0877519358292608,0.1320822642652582,NaN,NaN
2017-08-12 04:00:00,3.254784138277433,0.06935037113378854,0.10291131189498617,NaN,NaN
2017-08-12 05:00:00,2.820788049709987,0.053969388443692,0.0781896806942602,NaN,NaN
2017-08-12 06:00:00,2.39934957592779,0.04143772369255228,0.058072085644404005,NaN,NaN
2017-08-12 07:00:00,2.0076732142985496,0.03140607198701471,0.04223066615899393,NaN,NaN
2017-08-12 08:00:00,1.6559075553799016,0.023552809806751243,0.03010237765830289,NaN,NaN
2017-08-12 09:00:00,1.3485400971966812,0.02168277916282294,0.02243700711237555,NaN,NaN
2017-08-12 10:00:00,1.0859453715533103,0.02685291438235948,0.02149756556778462,NaN,NaN
2017-08-12 11:00:00,0.8587614119036886,0.03907914921079568,0.028959635469910833,NaN,NaN
2017-08-12 12:00:00,0.669341681485823,0.057694505508676164,0.04533337564625982,NaN,NaN
2017-08-12 13:00:00,0.5509918806007226,0.0812953237140285,0.0699534368538619,NaN,NaN
2017-08-12 14:00:00,0.5748067686080334,0.10786186908251548,0.10108058138165055,NaN,NaN
2017-08-12 15:00:00,0.7709194055833802,0.1350363040553704,0.1361280087296419,NaN,NaN
2017-08-12 16:00:00,1.1282220910824927,0.16047805637344956,0.1720272046066083,NaN,NaN
2017-08-12 17:00:00,1.6077589434281203,0.18209525413450947,0.20564503672843346,NaN,NaN
2017-08-12 18:00:00,2.1564428769741046,0.19808565064807473,0.23410037718512547,NaN,NaN
2017-08-12 19:00:00,2.7171870724956713,0.20703723252713355,0.2549513438008393,NaN,NaN
2017-08-12 20:00:00,3.2357138055367183,0.20812691131631691,0.2663648429600328,NaN,NaN
2017-08-12 21:00:00,3.6659155040806692,0.20136801258592096,0.267341913038039,NaN,NaN
2017-08-12 22:00:00,3.97328632095762,0.18768783710298229,0.25794141195347553,NaN,NaN
2017-08-12 23:00:00,4.136765330403153,0.16845540128571393,0.23925240411885756,NaN,NaN
2017-08-13 00:00:00,4.1491469049713015,0.14555882737101278,0.21318458402563142,NaN,NaN
2017-08-13 01:00:00,4.018662883100373,0.12158708277176332,0.1824203429900507,NaN,NaN
2017-08-13 02:00:00,3.768922371258977,0.09896073637735243,0.15018409725312426,NaN,NaN
2017-08-13 03:00:00,3.433600516340591,0.07907562269770534,0.11949273562042273,NaN,NaN
2017-08-13 04:00:00,3.0491347261074484,0.06230373861939018,0.09240099130905338,NaN,NaN
2017-08-13 05:00:00,2.648074827274355,0.04847463202132813,0.06979299080063077,NaN,NaN
2017-08-13 06:00:00,2.2556948150088507,0.03725982831633351,0.05166916899293818,NaN,NaN
2017-08-13 07:00:00,1.8893729422796086,0.028464389402603374,0.03761271805064929,NaN,NaN
2017-08-13 08:00:00,1.5594329703697827,0.022175790272814456,0.02722102032495923,NaN,NaN
2017-08-13 09:00:00,1.27059532966865,0.01851443255179275,0.02029872815911325,NaN,NaN
2017-08-13 10:00:00,1.0235227144847663,0.01787211374082791,0.016911063419810978,NaN,NaN
2017-08-13 11:00:00,0.8161962135648274,0.020972937191291632,0.01748198620570931,NaN,NaN
2017-08-13 12:00:00,0.6639806544544058,0.03066149066975746,0.0234591341138119,NaN,NaN
2017-08-13 13:00:00,0.6010307738831261,0.05005768179316467,0.03776699201411377,NaN,NaN
2017-08-13 14:00:00,0.6827058055865215,0.07697261283774365,0.06246264628274643,NaN,NaN
2017-08-13 15:00:00,0.9249749323591737,0.10639901176437169,0.0959432856075701,NaN,NaN
