Date,melt_rate,melt_mmperh_smooth_6h,Qm3s,SOY,DOY
2017-07-28 21:18:40,0.9440080000000001,0.5894263076923077,0.9823771794871796,18047920.0,208.88796296296297
2017-07-28 21:33:40,0.8857420000000001,0.5634774285714287,0.9391290476190478,18048820.0,208.89837962962963
2017-07-28 21:48:40,0.8049080000000002,0.5394394666666668,0.899065777777778,18049720.0,208.9087962962963
2017-07-28 22:03:40,0.7381920000000001,0.5165031250000002,0.860838541666667,18050620.0,208.91921296296297
2017-07-28 22:18:40,0.6747420000000001,0.4951210588235296,0.8252017647058827,18051520.0,208.92962962962963
2017-07-28 22:33:40,0.6333420000000001,0.4758361111111113,0.7930601851851855,18052420.0,208.9400462962963
2017-07-28 22:48:40,0.5667920000000001,0.45799957894736854,0.7633326315789476,18053320.0,208.95046296296297
2017-07-28 23:03:40,0.5293420000000001,0.44124250000000015,0.7354041666666669,18054220.0,208.96087962962963
2017-07-28 23:18:40,0.49160800000000004,0.4262900952380954,0.7104834920634924,18055120.0,208.9712962962963
2017-07-28 23:33:40,0.43520800000000004,0.4123310909090911,0.6872184848484851,18056020.0,208.98171296296297
2017-07-28 23:48:40,0.36454200000000003,0.3998453043478263,0.6664088405797104,18056920.0,208.99212962962963
2017-07-29 00:03:40,0.317558,0.3881208333333335,0.6468680555555558,18057820.0,209.0025462962963
2017-07-29 00:18:40,0.276558,0.3531083333333335,0.5885138888888891,18058720.0,209.01296296296297
2017-07-29 00:33:40,0.226142,0.32085900000000017,0.5347650000000003,18059620.0,209.02337962962963
2017-07-29 00:48:40,0.202908,0.2922027500000001,0.4870045833333335,18060520.0,209.0337962962963
2017-07-29 01:03:40,0.172458,0.26610133333333347,0.4435022222222224,18061420.0,209.04421296296297
2017-07-29 01:18:40,0.153008,0.2429534166666668,0.4049223611111114,18062320.0,209.05462962962963
2017-07-29 01:33:40,0.147992,0.22097008333333348,0.36828347222222246,18063220.0,209.0650462962963
2017-07-29 01:48:40,0.136942,0.20213533333333347,0.33689222222222254,18064120.0,209.07546296296297
2017-07-29 02:03:40,0.12285800000000001,0.18519850000000015,0.3086641666666669,18065020.0,209.08587962962963
2017-07-29 02:18:40,0.12724200000000002,0.16995891666666682,0.2832648611111114,18065920.0,209.0962962962963
2017-07-29 02:33:40,0.119192,0.15702766666666682,0.26171277777777807,18066820.0,209.10671296296297
2017-07-29 02:48:40,0.125158,0.14779500000000015,0.24632500000000024,18067720.0,209.11712962962963
2017-07-29 03:03:40,0.11845800000000001,0.14169500000000015,0.2361583333333336,18068620.0,209.1275462962963
2017-07-29 03:18:40,0.103708,0.13873183333333347,0.23121972222222242,18069520.0,209.13796296296297
2017-07-29 03:33:40,0.11175800000000001,0.14037350000000015,0.23395583333333358,18070420.0,209.14837962962963
2017-07-29 03:48:40,0.117158,0.14474575000000015,0.2412429166666669,18071320.0,209.1587962962963
2017-07-29 04:03:40,0.11175800000000001,0.15156175000000016,0.2526029166666669,18072220.0,209.16921296296297
2017-07-29 04:18:40,0.119192,0.15830550000000018,0.26384250000000026,18073120.0,209.17962962962963
2017-07-29 04:33:40,0.105742,0.1681957500000002,0.28032625000000033,18074020.0,209.1900462962963
2017-07-29 04:48:40,0.114758,0.18240683333333355,0.30401138888888923,18074920.0,209.20046296296297
2017-07-29 05:03:40,0.12285800000000001,0.19961100000000023,0.33268500000000034,18075820.0,209.21087962962963
2017-07-29 05:18:40,0.12585800000000003,0.21993391666666692,0.3665565277777782,18076720.0,209.2212962962963
2017-07-29 05:33:40,0.124858,0.24305475000000024,0.4050912500000004,18077620.0,209.23171296296297
2017-07-29 05:48:40,0.142958,0.2686811666666669,0.4478019444444448,18078520.0,209.24212962962963
2017-07-29 06:03:40,0.171158,0.29710550000000024,0.4951758333333337,18079420.0,209.2525462962963
2017-07-29 06:18:40,0.205442,0.3285909166666669,0.5476515277777781,18080320.0,209.26296296296297
2017-07-29 06:33:40,0.26554200000000006,0.36199441666666693,0.6033240277777782,18081220.0,209.27337962962963
2017-07-29 06:48:40,0.307842,0.39287708333333365,0.6547951388888893,18082120.0,209.2837962962963
2017-07-29 07:03:40,0.336042,0.39749308333333366,0.6624884722222227,18083020.0,209.29421296296297
2017-07-29 07:18:40,0.3148580000000001,0.4016305833333336,0.6693843055555561,18083920.0,209.30462962962963
2017-07-29 07:33:40,0.3853580000000001,0.4065937500000003,0.6776562500000005,18084820.0,209.3150462962963
2017-07-29 07:48:40,0.4780080000000001,0.411291666666667,0.6854861111111116,18085720.0,209.32546296296297
2017-07-29 08:03:40,0.5357580000000001,0.41573891666666696,0.692898194444445,18086620.0,209.33587962962963
2017-07-29 08:18:40,0.6149920000000001,0.440329916666667,0.7338831944444449,18087520.0,209.3462962962963
2017-07-29 08:33:40,0.6740920000000001,0.4921403333333337,0.8202338888888894,18088420.0,209.35671296296297
2017-07-29 08:48:40,0.7401920000000001,0.49623616666666703,0.8270602777777784,18089320.0,209.36712962962963
2017-07-29 09:03:40,0.8006420000000001,0.5489653333333336,0.9149422222222227,18090220.0,209.3775462962963
2017-07-29 09:18:40,0.8593580000000001,0.6039410000000004,1.006568333333334,18091120.0,209.38796296296297
2017-07-29 09:33:40,0.9134420000000002,0.6586708333333336,1.0977847222222228,18092020.0,209.39837962962963
2017-07-29 09:48:40,0.8583420000000002,0.7133041666666671,1.1888402777777785,18092920.0,209.4087962962963
2017-07-29 10:03:40,0.22254200000000002,0.7683090000000005,1.2805150000000007,18093820.0,209.41921296296297
