Day (2011),Borehole 4 (m),Borehole 6 (m),Borehole 7 (m),FOXX velocity (m/a),FOXX bed seperation (m),Temperature (*C),FOXX  Moulin Dday,FOXX moulin (m)
140.6770833,NaN,NaN,NaN,84.33347691,-0.001152473,-3.387992319,199.2430556,NaN
140.6875,NaN,NaN,NaN,83.91382492,-0.001216218,-3.313991359,199.2465278,NaN
140.6979167,NaN,NaN,NaN,84.05401311,-0.001299068,-3.255992959,199.25,NaN
140.7083333,NaN,NaN,NaN,84.82076988,-0.001355784,-3.219994239,199.2534722,NaN
140.71875,NaN,NaN,NaN,84.58041627,-0.001472461,-3.193996799,199.2569444,NaN
140.7291667,NaN,NaN,NaN,84.29349981,-0.001530315,-3.173997438,199.2604167,NaN
140.7395833,NaN,NaN,NaN,84.55262692,-0.001498745,-3.167993919,199.2638889,NaN
140.75,NaN,NaN,NaN,84.34129741,-0.001490033,-3.175992639,199.2673611,NaN
140.7604167,NaN,NaN,NaN,84.11863871,-0.001509701,-3.199993919,199.2708333,NaN
140.7708333,NaN,NaN,NaN,84.45301832,-0.001490429,-3.235995199,199.2743056,NaN
140.78125,NaN,NaN,NaN,83.84997097,-0.001392728,-3.277993919,199.2777778,NaN
140.7916667,NaN,NaN,NaN,83.87552618,-0.001297035,-3.31799328,199.28125,NaN
140.8020833,NaN,NaN,NaN,84.09422163,-0.001149784,-3.371991679,199.2847222,NaN
140.8125,NaN,NaN,NaN,83.64886178,-0.00099819,-3.449990719,199.2881944,NaN
140.8229167,NaN,NaN,NaN,83.06010866,-0.000787626,-3.541991999,199.2916667,NaN
140.8333333,NaN,NaN,NaN,82.81922782,-0.000496818,-3.643993598,199.2951389,NaN
140.84375,NaN,NaN,NaN,82.93301914,-0.000274732,-3.751992319,199.2986111,NaN
140.8541667,NaN,NaN,NaN,82.8516639,-0.000162661,-3.859991039,199.3020833,NaN
140.8645833,NaN,NaN,NaN,83.44422646,-4.37E-05,-3.975990398,199.3055556,NaN
140.875,NaN,NaN,NaN,83.9593906,3.93E-05,-4.095991679,199.3090278,NaN
140.8854167,NaN,NaN,NaN,84.25118413,1.88E-06,-4.205991359,199.3125,NaN
140.8958333,NaN,NaN,NaN,84.90414057,-1.40E-05,-4.33199168,199.3159722,NaN
140.90625,NaN,NaN,NaN,85.26115474,-0.000141006,-4.467996798,199.3194444,NaN
140.9166667,NaN,NaN,NaN,85.84436049,-0.000252832,-4.611999357,199.3229167,NaN
140.9270833,NaN,NaN,NaN,85.9554867,-0.000263672,-4.801989438,199.3263889,NaN
140.9375,NaN,NaN,NaN,86.68795688,-0.000309038,-4.997993279,199.3298611,NaN
140.9479167,NaN,NaN,NaN,87.13096216,-0.000392776,-5.179994879,199.3333333,NaN
140.9583333,NaN,NaN,NaN,87.31462893,-0.00050164,-5.361998397,199.3368056,NaN
140.96875,NaN,NaN,NaN,87.97578483,-0.000562753,-5.549999037,199.3402778,NaN
140.9791667,NaN,NaN,NaN,88.73694377,-0.00065871,-5.755993919,199.34375,NaN
140.9895833,NaN,NaN,NaN,89.21821022,-0.000671789,-5.979990719,199.3472222,NaN
141,NaN,NaN,NaN,89.41416681,-0.000683073,-6.213991679,199.3506944,NaN
141.0104167,NaN,NaN,NaN,89.93171701,-0.000791445,-6.449992959,199.3541667,NaN
141.0208333,NaN,NaN,NaN,89.85003002,-0.00085213,-6.685993598,199.3576389,NaN
141.03125,NaN,NaN,NaN,90.75190512,-0.00094486,-6.919992958,199.3611111,NaN
141.0416667,NaN,NaN,NaN,90.87310935,-0.001106688,-7.157991039,199.3645833,NaN
141.0520833,NaN,NaN,NaN,90.99219223,-0.001359477,-7.385992959,199.3680556,NaN
141.0625,NaN,NaN,NaN,90.91146625,-0.001572872,-7.587995839,199.3715278,NaN
141.0729167,NaN,NaN,NaN,90.99943889,-0.001805789,-7.78399776,199.375,NaN
141.0833333,NaN,NaN,NaN,91.14265939,-0.002121098,-7.983992001,199.3784722,NaN
141.09375,NaN,NaN,NaN,90.75590416,-0.002463517,-8.161990721,199.3819444,NaN
141.1041667,NaN,NaN,NaN,90.81642438,-0.002700546,-8.3219952,199.3854167,NaN
141.1145833,NaN,NaN,NaN,89.23178744,-0.002978438,-8.489994559,199.3888889,NaN
141.125,NaN,NaN,NaN,88.25075753,-0.003242001,-8.657996479,199.3923611,NaN
141.1354167,NaN,NaN,NaN,87.47537246,-0.003340029,-8.809995839,199.3958333,NaN
141.1458333,NaN,NaN,NaN,86.5354992,-0.003319861,-8.959998719,199.3993056,NaN
141.15625,NaN,NaN,NaN,85.63313682,-0.003217008,-9.120001278,199.4027778,NaN
141.1666667,NaN,NaN,NaN,84.99950506,-0.003172617,-9.295998719,199.40625,NaN
141.1770833,NaN,NaN,NaN,84.95055486,-0.00314525,-9.481995839,199.4097222,NaN
141.1875,NaN,NaN,NaN,84.23244693,-0.003290778,-9.64000064,199.4131944,NaN
141.1979167,NaN,NaN,NaN,83.29297585,-0.003435033,-9.78000256,199.4166667,NaN
141.2083333,NaN,NaN,NaN,82.23822274,-0.003509933,-9.9220016,199.4201389,NaN
141.21875,NaN,NaN,NaN,80.83876416,-0.003655943,-10.05599648,199.4236111,NaN
141.2291667,NaN,NaN,NaN,79.44445562,-0.003712474,-10.17599584,199.4270833,NaN
141.2395833,NaN,NaN,NaN,78.82596924,-0.003843658,-10.28000096,199.4305556,NaN
141.25,NaN,NaN,NaN,78.42016731,-0.003902696,-10.36800352,199.4340278,NaN
141.2604167,NaN,NaN,NaN,77.89320638,-0.003923263,-10.43000192,199.4375,NaN
141.2708333,NaN,NaN,NaN,76.63914039,-0.003847334,-10.47399936,199.4409722,NaN
141.28125,NaN,NaN,NaN,75.87732699,-0.003804172,-10.50599744,199.4444444,NaN
141.2916667,NaN,NaN,NaN,75.66367396,-0.003656319,-10.52799872,199.4479167,NaN
141.3020833,NaN,NaN,NaN,75.34345387,-0.003475868,-10.53600192,199.4513889,NaN
141.3125,NaN,NaN,NaN,75.52898312,-0.003297877,-10.54400064,199.4548611,NaN
141.3229167,NaN,NaN,NaN,75.84002235,-0.003093035,-10.55199936,199.4583333,NaN
141.3333333,NaN,NaN,NaN,75.72692789,-0.002846349,-10.5399968,199.4618056,NaN
141.34375,NaN,NaN,NaN,75.90072478,-0.002607127,-10.51400128,199.4652778,NaN
