Date,melt_rate,melt_mmperh_smooth_6h,Qm3s,SOY,DOY,q_suh_mmh
2017-07-02 18:00:00,0.0,0.0,0.0,15789600.000000002,182.75000000000003,0.0
2017-07-02 19:00:00,0.0,0.0,0.0,15793200.000000002,182.7916666666667,0.0
2017-07-02 20:00:00,0.0,0.0,0.0,15796800.000000002,182.83333333333337,0.0
2017-07-02 21:00:00,0.0,0.0,0.0,15800400.000000002,182.87500000000003,0.0
2017-07-02 22:00:00,0.0,0.0,0.0,15804000.000000002,182.9166666666667,0.0
2017-07-02 23:00:00,0.0,0.0,0.0,15807600.000000002,182.95833333333337,0.0
2017-07-03 00:00:00,0.0,0.0,0.0,15811200.000000002,183.00000000000003,0.0
2017-07-03 01:00:00,0.0,0.0,0.0,15814800.000000002,183.0416666666667,0.0
2017-07-03 02:00:00,0.0,0.0,0.0,15818400.000000002,183.08333333333337,0.0
2017-07-03 03:00:00,0.0,0.0,0.0,15822000.000000002,183.12500000000003,0.0
2017-07-03 04:00:00,0.0,0.0,0.0,15825600.000000002,183.1666666666667,0.0
2017-07-03 05:00:00,0.0,0.0,0.0,15829200.000000002,183.20833333333337,0.0
2017-07-03 06:00:00,0.0,0.0,0.0,15832800.000000002,183.25000000000003,0.0
2017-07-03 07:00:00,0.0,0.0,0.0,15836400.000000002,183.2916666666667,0.0
2017-07-03 08:00:00,0.0,0.0,0.0,15840000.000000002,183.33333333333337,0.0
2017-07-03 09:00:00,0.0,0.0,0.0,15843600.000000002,183.37500000000003,0.0
2017-07-03 10:00:00,0.0,0.0,0.0,15847200.000000002,183.4166666666667,0.0
2017-07-03 11:00:00,0.0,0.0,0.0,15850800.000000002,183.45833333333337,0.0
2017-07-03 12:00:00,0.0,0.0,0.0,15854400.000000002,183.50000000000003,0.0
2017-07-03 13:00:00,0.0,0.0,0.0,15858000.000000002,183.5416666666667,0.0
2017-07-03 14:00:00,0.0,0.0,0.0,15861600.000000002,183.58333333333337,0.0
2017-07-03 15:00:00,0.0,0.0,0.0,15865200.000000002,183.62500000000003,0.0
2017-07-03 16:00:00,0.0,0.0,0.0,15868800.000000002,183.6666666666667,0.0
2017-07-03 17:00:00,0.0,0.0,0.0,15872400.000000002,183.70833333333337,0.0
2017-07-03 18:00:00,0.0,0.0,0.0,15876000.000000002,183.75000000000003,0.0
2017-07-03 19:00:00,0.0,0.0,0.0,15879600.000000002,183.7916666666667,0.0
2017-07-03 20:00:00,0.0,0.0,0.0,15883200.000000002,183.83333333333337,0.0
2017-07-03 21:00:00,0.0,0.0,0.0,15886800.000000002,183.87500000000003,0.0
2017-07-03 22:00:00,0.0,0.0,0.0,15890400.000000002,183.9166666666667,0.0
2017-07-03 23:00:00,0.0,0.0,0.0,15894000.000000002,183.95833333333337,0.0
2017-07-04 00:00:00,0.0,0.0,0.0,15897600.000000002,184.00000000000003,0.0
2017-07-04 01:00:00,0.0,0.0,0.0,15901200.000000002,184.0416666666667,0.0
2017-07-04 02:00:00,0.0,0.0,0.0,15904800.000000002,184.08333333333337,0.0
2017-07-04 03:00:00,0.0,0.0,0.0,15908400.000000002,184.12500000000003,0.0
2017-07-04 04:00:00,0.0,0.0,0.0,15912000.000000002,184.1666666666667,0.0
2017-07-04 05:00:00,0.0,0.0,0.0,15915600.000000002,184.20833333333337,0.0
2017-07-04 06:00:00,0.0,0.0,0.0,15919200.000000002,184.25000000000003,0.0
2017-07-04 07:00:00,0.0,0.0,0.0,15922800.000000002,184.2916666666667,0.0
2017-07-04 08:00:00,0.0,0.08554758333333334,0.019010574074074076,15926400.000000002,184.33333333333337,0.0
2017-07-04 09:00:00,0.0,0.31683577083333336,0.07040794907407409,15930000.000000002,184.37500000000003,0.032876554754263064
2017-07-04 10:00:00,0.0,0.5514649583333334,0.12254776851851855,15933600.000000002,184.4166666666667,0.166521234214406
2017-07-04 11:00:00,1.0576355000000002,0.7786932708333335,0.17304294907407414,15937200.000000002,184.45833333333337,0.4234041193760184
2017-07-04 12:00:00,1.3412375,1.0513444583333333,0.2336321018518519,15940800.000000002,184.50000000000003,0.7985294815220435
2017-07-04 13:00:00,1.4117375,1.3193420416666668,0.2931871203703704,15944400.000000002,184.5416666666667,1.2949846134645937
2017-07-04 14:00:00,1.3987085000000001,1.4715727916666665,0.32701617592592586,15948000.000000002,184.58333333333337,1.9000427468777894
2017-07-04 15:00:00,1.7625164999999998,1.4722839375,0.3271742083333333,15951600.000000002,184.62500000000003,2.5522451695798822
2017-07-04 16:00:00,1.5030710000000005,1.4086738333333335,0.3130386296296297,15955200.000000002,184.6666666666667,3.1600776131368318
2017-07-04 17:00:00,1.3607710000000002,1.2501133958333335,0.27780297685185196,15958800.000000002,184.70833333333337,3.660939325872978
2017-07-04 18:00:00,1.3232585000000003,0.9774622083333335,0.21721382407407414,15962400.000000002,184.75000000000003,4.000238022845664
2017-07-04 19:00:00,1.013904,0.7094646250000003,0.15765880555555561,15966000.000000002,184.7916666666667,4.1253018839421545
2017-07-04 20:00:00,0.0,0.47168629166666687,0.10481917592592598,15969600.000000002,184.83333333333337,4.035352893601823
2017-07-04 21:00:00,0.0,0.2396869583333336,0.053263768518518564,15973200.000000002,184.87500000000003,3.7635634127346416
2017-07-04 22:00:00,0.0,0.06866787500000021,0.015259527777777825,15976800.000000002,184.9166666666667,3.346063059856826
2017-07-04 23:00:00,0.0,2.0354088784794536e-16,4.523130841065452e-17,15980400.000000002,184.95833333333337,2.8378827770198156
